time,open,high,low,close,Shapes,Shapes
1711035000,1.08643,1.08668,1.08594,1.08594,0,0
1711035900,1.08594,1.08609,1.08558,1.08606,0,1
1711036800,1.08606,1.08648,1.0858,1.08636,1,0
1711037700,1.08636,1.08642,1.08584,1.08608,0,0
1711038600,1.08608,1.08634,1.08594,1.08599,0,0
1711039500,1.08599,1.08626,1.08589,1.0861,0,0
1711040400,1.0861,1.08658,1.08576,1.08655,0,1
1711041300,1.08655,1.08664,1.08578,1.08594,1,0
1711042200,1.08594,1.0861,1.08571,1.08573,0,0
1711043100,1.08573,1.08586,1.0856,1.08579,0,1
1711044000,1.08579,1.08594,1.08574,1.0859,0,0
1711044900,1.0859,1.08612,1.08583,1.0861,0,0
1711045800,1.0861,1.08626,1.08594,1.08624,0,0
1711046700,1.08624,1.08632,1.08614,1.08626,1,0
1711047600,1.08626,1.0863,1.08592,1.08599,0,0
1711048500,1.08599,1.086,1.08566,1.08583,0,1
1711049400,1.08583,1.08594,1.08569,1.08582,0,0
1711050300,1.08582,1.08584,1.08556,1.0857,0,1
1711051200,1.0857,1.08592,1.08568,1.0859,1,0
1711052100,1.0859,1.0859,1.08575,1.08575,0,0
1711053000,1.08575,1.0859,1.08572,1.08583,0,1
1711053900,1.08583,1.08606,1.08583,1.08598,0,0
1711054800,1.08598,1.08629,1.08594,1.08602,1,0
1711055700,1.08602,1.08613,1.08599,1.08606,0,0
1711056600,1.08606,1.08618,1.08602,1.08608,0,0
1711057500,1.08608,1.08626,1.08606,1.08619,0,0
1711058400,1.08619,1.08628,1.08606,1.08612,1,0
1711059300,1.08612,1.0862,1.08609,1.08612,0,0
1711060200,1.08612,1.08624,1.08612,1.08618,1,0
1711061100,1.08618,1.08623,1.08615,1.0862,0,0
1711062000,1.0862,1.0862,1.08606,1.08615,0,1
1711062900,1.08615,1.08621,1.08608,1.0862,0,0
1711063800,1.0862,1.08626,1.08612,1.08626,0,0
1711064700,1.08626,1.08632,1.08619,1.08622,0,0
1711065600,1.08622,1.08643,1.08621,1.08639,0,0
1711066500,1.08639,1.08672,1.08636,1.0866,0,0
1711067400,1.0866,1.08682,1.08658,1.08664,1,0
1711068300,1.08664,1.08666,1.08643,1.08652,0,0
1711069200,1.08652,1.08653,1.0863,1.08653,0,0
1711070100,1.08653,1.08658,1.08611,1.08618,1,0
1711071000,1.08618,1.08618,1.08538,1.08543,0,0
1711071900,1.08543,1.08552,1.08501,1.08504,0,0
1711072800,1.08504,1.08524,1.08482,1.08482,0,0
1711073700,1.08482,1.08501,1.08478,1.08484,0,0
1711074600,1.08484,1.08485,1.0842,1.08431,0,0
1711075500,1.08431,1.0844,1.08387,1.08391,0,0
1711076400,1.08391,1.08413,1.08366,1.08369,0,1
1711077300,1.08369,1.08397,1.08368,1.08382,0,0
1711078200,1.08382,1.08398,1.08359,1.08392,0,1
1711079100,1.08392,1.08403,1.08375,1.0838,1,0
1711080000,1.0838,1.0838,1.08339,1.08346,0,0
1711080900,1.08346,1.08358,1.08332,1.08334,0,0
1711081800,1.08334,1.08348,1.08324,1.0833,0,0
1711082700,1.0833,1.08336,1.08312,1.08332,0,1
1711083600,1.08332,1.08369,1.08332,1.08348,1,0
1711084500,1.08348,1.0836,1.08342,1.08354,0,0
1711085400,1.08354,1.08366,1.08343,1.08358,0,0
1711086300,1.08358,1.08422,1.08354,1.08416,1,0
1711087200,1.08416,1.08416,1.0837,1.08382,0,0
1711088100,1.08382,1.08389,1.08322,1.08327,0,0
1711089000,1.08327,1.0833,1.08278,1.08282,0,0
1711089900,1.08282,1.08315,1.08271,1.08305,0,1
1711090800,1.08305,1.08348,1.08297,1.08332,1,0
1711091700,1.08332,1.08334,1.08232,1.08234,0,0
1711092600,1.08234,1.08268,1.08214,1.08224,0,0
1711093500,1.08224,1.08254,1.0821,1.08248,0,0
1711094400,1.08248,1.08298,1.0818,1.0819,1,0
1711095300,1.0819,1.0819,1.08135,1.0814,0,0
1711096200,1.0814,1.08154,1.08082,1.08147,0,1
1711097100,1.08147,1.08153,1.08087,1.08118,0,0
1711098000,1.08118,1.08215,1.08118,1.08195,0,0
1711098900,1.08195,1.08235,1.08194,1.08208,1,0
1711099800,1.08208,1.08208,1.08166,1.08174,0,0
1711100700,1.08174,1.08175,1.08144,1.08162,0,1
1711101600,1.08162,1.08184,1.08146,1.08175,0,0
1711102500,1.08175,1.082,1.08166,1.0818,0,0
1711103400,1.0818,1.08217,1.0818,1.08197,1,0
1711104300,1.08197,1.08208,1.08152,1.08163,0,1
1711105200,1.08163,1.08226,1.08163,1.08214,1,0
1711106100,1.08214,1.08224,1.08186,1.08209,0,0
1711107000,1.08209,1.08223,1.08164,1.0817,0,0
1711107900,1.0817,1.0817,1.08116,1.08162,0,1
1711108800,1.08162,1.08212,1.08146,1.08192,0,0
1711109700,1.08192,1.08272,1.0819,1.08263,0,0
1711110600,1.08263,1.08298,1.08248,1.08298,0,0
1711111500,1.08298,1.08312,1.08244,1.08265,1,0
1711112400,1.08265,1.0827,1.08203,1.0823,0,1
1711113300,1.0823,1.08267,1.0821,1.08216,0,0
1711114200,1.08216,1.08261,1.08186,1.08236,0,1
1711115100,1.08236,1.08298,1.08231,1.08295,0,0
1711116000,1.08295,1.08317,1.08226,1.08226,1,0
1711116900,1.08226,1.0823,1.08173,1.08194,0,0
1711117800,1.08194,1.08198,1.08163,1.08175,0,0
1711118700,1.08175,1.08192,1.08149,1.0815,0,0
1711119600,1.0815,1.08207,1.08143,1.08197,0,1
1711120500,1.08197,1.08219,1.08176,1.082,1,0
1711121400,1.082,1.08202,1.08143,1.08146,0,0
1711122300,1.08146,1.08165,1.08104,1.08158,0,1
1711123200,1.08158,1.0817,1.0812,1.08124,1,0
1711124100,1.08124,1.08124,1.08074,1.08105,0,1
